"gene_id","gene_label","gene_group","stimulus","time","comparison","baseMean","log2FC","fold_change","lfcSE","stat","pvalue","padj","ci95_low_log2FC","ci95_high_log2FC","significant_FDR05"
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","nlp20",0,"nlp20_0_vs_mock_0",2353.56470184709,-0.129381382023145,0.914223379060754,0.195865727357748,-0.660561619271092,0.508893489557898,1,-0.513278207644331,0.254515443598042,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","nlp20",5,"nlp20_5_vs_mock_5",2353.56470184709,0.25047361133573,1.18959757481042,0.2115976315796,1.18372596831976,0.236521555919379,1,-0.164257746560287,0.665204969231747,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","nlp20",10,"nlp20_10_vs_mock_10",2353.56470184709,0.148090491309111,1.10810185003932,0.211626451736768,0.699773067562055,0.484069036794629,1,-0.266697354094954,0.562878336713176,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","nlp20",30,"nlp20_30_vs_mock_30",2353.56470184709,0.684509154072216,1.60715508853898,0.196050843463559,3.49148793231001,0.000480338163851927,0.00586999978822901,0.30024950088364,1.06876880726079,TRUE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","nlp20",90,"nlp20_90_vs_mock_90",2353.56470184709,0.333130599390475,1.25974401260789,0.212615522616522,1.56682162850037,0.117156390414725,0.22287850869393,-0.0835958249379079,0.749857023718858,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","nlp20",180,"nlp20_180_vs_mock_180",2353.56470184709,0.218818510353473,1.16378012277463,0.212230442065543,1.03104205138439,0.302521100480999,0.458772324680554,-0.197153156094992,0.634790176801938,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","OGs",0,"OGs_0_vs_mock_0",2353.56470184709,0.0106466954745467,1.00740702424293,0.211444272560782,0.050352252844712,0.959841684796637,1,-0.403784078744586,0.42507746969368,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","OGs",5,"OGs_5_vs_mock_5",2353.56470184709,-0.0809832666655387,0.945413082215458,0.196008090928382,-0.413162876501505,0.679487284931034,1,-0.465159124885167,0.303192591554089,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","OGs",10,"OGs_10_vs_mock_10",2353.56470184709,0.22870843790565,1.17178544724371,0.195935588160593,1.16726338513958,0.243104020363218,0.941935961008188,-0.155325314889113,0.612742190700413,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","OGs",30,"OGs_30_vs_mock_30",2353.56470184709,1.22672683398469,2.34035410839303,0.195902810760508,6.26191543256809,3.80277164393922e-10,6.02029149413992e-09,0.842757324894096,1.61069634307529,TRUE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","OGs",90,"OGs_90_vs_mock_90",2353.56470184709,0.51556765709389,1.42955651657451,0.21244635651142,2.42681336390052,0.0152320895265568,0.0536672620506713,0.0991727983315063,0.931962515856274,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","OGs",180,"OGs_180_vs_mock_180",2353.56470184709,0.142328235460766,1.10368481686445,0.196486057638573,0.724368116350386,0.468839768647197,0.707122599893734,-0.242784437510836,0.527440908432369,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","Pep1",0,"Pep1_0_vs_mock_0",2353.56470184709,0.0239740318125474,1.01675637174039,0.211456218252097,0.113375865749976,0.909732572667011,1,-0.390480155961562,0.438428219586657,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","Pep1",5,"Pep1_5_vs_mock_5",2353.56470184709,-0.0183712272613747,0.987346769494001,0.211759209942296,-0.0867552691870204,0.930866043523655,1,-0.433419278748275,0.396676824225526,FALSE
